"","gene_name","gene_alias","gene_title","chr","map"
"AP4E1","AP4E1","AP4E1","adaptor related protein complex 4 subunit epsilon 1","15","15q21.2"
"AP4M1","AP4M1","AP4M1","adaptor related protein complex 4 subunit mu 1","7","7q22.1"
"AP4S1","AP4S1","AP4S1","adaptor related protein complex 4 subunit sigma 1","14","14q12"
"AP5B1","AP5B1","AP5B1","adaptor related protein complex 5 subunit beta 1","11","11q13.1"
"AP5M1","AP5M1","AP5M1","adaptor related protein complex 5 subunit mu 1","14","14q22.3"
"AP5S1","AP5S1","AP5S1","adaptor related protein complex 5 subunit sigma 1","20","20p13"
"AP5Z1","AP5Z1","AP5Z1","adaptor related protein complex 5 subunit zeta 1","7","7p22.1"
"APAF1","APAF1","APAF1","apoptotic peptidase activating factor 1","12","12q23.1"
"APBA2","APBA2","APBA2","amyloid beta precursor protein binding family A member 2","15","15q13.1"
"APBA3","APBA3","APBA3","amyloid beta precursor protein binding family A member 3","19","19p13.3"
"APBB1","APBB1","APBB1","amyloid beta precursor protein binding family B member 1","11","11p15.4"
"APBB1IP","APBB1IP","APBB1IP","amyloid beta precursor protein binding family B member 1 interacting protein","10","10p12.1"
"APCS","APCS","APCS","amyloid P component, serum","1","1q23.2"
"APEH","APEH","APEH","acylaminoacyl-peptide hydrolase","3","3p21.31"
"APEX1","APEX1","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1","14","14q11.2"
"API5","API5","API5","apoptosis inhibitor 5","11","11p12"
"APIP","APIP","APIP","APAF1 interacting protein","11","11p13"
"APITD1","APITD1","APITD1",NA,NA,NA
"APMAP","APMAP","APMAP;C20orf3","adipocyte plasma membrane associated protein","20","20p11.21"
"APOA1","APOA1","APOA1","apolipoprotein A1","11","11q23.3"
"APOA1BP","APOA1BP","APOA1BP",NA,NA,NA
"APOA2","APOA2","APOA2","apolipoprotein A2","1","1q23.3"
"APOA4","APOA4","APOA4","apolipoprotein A4","11","11q23.3"
"APOB","APOB","APOB","apolipoprotein B","2","2p24.1"
"APOBEC3B","APOBEC3B","APOBEC3B","apolipoprotein B mRNA editing enzyme catalytic subunit 3B","22","22q13.1"
"APOBEC3C","APOBEC3C","APOBEC3C","apolipoprotein B mRNA editing enzyme catalytic subunit 3C","22","22q13.1"
"APOBEC3D","APOBEC3D","APOBEC3D;bK150C2.9","apolipoprotein B mRNA editing enzyme catalytic subunit 3D","22","22q13.1"
"APOBEC3F","APOBEC3F","APOBEC3F","apolipoprotein B mRNA editing enzyme catalytic subunit 3F","22","22q13.1"
"APOBEC3G","APOBEC3G","APOBEC3G","apolipoprotein B mRNA editing enzyme catalytic subunit 3G","22","22q13.1"
"APOBR","APOBR","APOBR","apolipoprotein B receptor","16","16p12.1"
"APOC1","APOC1","APOC1","apolipoprotein C1","19","19q13.32"
"APOC2","APOC2","APOC2","apolipoprotein C2","19","19q13.32"
"APOC3","APOC3","APOC3","apolipoprotein C3","11","11q23.3"
"APOD","APOD","APOD","apolipoprotein D","3","3q29"
"APOE","APOE","APOE","apolipoprotein E","19","19q13.32"
"APOF","APOF","APOF","apolipoprotein F","12","12q13.3"
"APOH","APOH","APOH","apolipoprotein H","17","17q24.2"
"APOL1","APOL1","APOL1","apolipoprotein L1","22","22q12.3"
"APOL2","APOL2","APOL2","apolipoprotein L2","22","22q12.3"
"APOL3","APOL3","APOL3","apolipoprotein L3","22","22q12.3"
"APOM","APOM","APOM","apolipoprotein M","6","6p21.33"
"APOO","APOO","APOO","apolipoprotein O","X","Xp22.11"
"APOOL","APOOL","APOOL","apolipoprotein O like","X","Xq21.1"
"APP","APP","APP","amyloid beta precursor protein","21","21q21.3"
"APPBP2","APPBP2","APPBP2","amyloid beta precursor protein binding protein 2","17","17q23.2"
"APPL1","APPL1","APPL1","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1","3","3p14.3"
"APPL2","APPL2","APPL2","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2","12","12q23.3"
"APRT","APRT","APRT","adenine phosphoribosyltransferase","16","16q24.3"
"APTX","APTX","APTX","aprataxin","9","9p21.1"
"AQR","AQR","AQR","aquarius intron-binding spliceosomal factor","15","15q14"
"ARAF","ARAF","ARAF","A-Raf proto-oncogene, serine/threonine kinase","X","Xp11.3"
"ARAP1","ARAP1","ARAP1","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1","11","11q13.4"
"ARAP2","ARAP2","ARAP2","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2","4","4p14"
"ARCN1","ARCN1","ARCN1","archain 1","11","11q23.3"
"ARF1","ARF1","ARF1;ARF3","ADP ribosylation factor 1","1","1q42.13"
"ARF4","ARF4","ARF4","ADP ribosylation factor 4","3","3p14.3"
"ARF5","ARF5","ARF5","ADP ribosylation factor 5","7","7q32.1"
"ARF6","ARF6","ARF6","ADP ribosylation factor 6","14","14q21.3"
"ARFGAP1","ARFGAP1","ARFGAP1","ADP ribosylation factor GTPase activating protein 1","20","20q13.33"
"ARFGAP2","ARFGAP2","ARFGAP2","ADP ribosylation factor GTPase activating protein 2","11","11p11.2"
"ARFGAP3","ARFGAP3","ARFGAP3","ADP ribosylation factor GTPase activating protein 3","22","22q13.2"
"ARFGEF1","ARFGEF1","ARFGEF1","ADP ribosylation factor guanine nucleotide exchange factor 1","8","8q13.2"
"ARFGEF2","ARFGEF2","ARFGEF2","ADP ribosylation factor guanine nucleotide exchange factor 2","20","20q13.13"
"ARFIP1","ARFIP1","ARFIP1","ADP ribosylation factor interacting protein 1","4","4q31.3"
"ARFIP2","ARFIP2","ARFIP2","ADP ribosylation factor interacting protein 2","11","11p15.4"
"ARFRP1","ARFRP1","ARFRP1","ADP ribosylation factor related protein 1","20","20q13.33"
"ARG2","ARG2","ARG2","arginase 2","14","14q24.1"
"ARGLU1","ARGLU1","ARGLU1","arginine and glutamate rich 1","13","13q33.3"
"ARHGAP1","ARHGAP1","ARHGAP1","Rho GTPase activating protein 1","11","11p11.2"
"ARHGAP10","ARHGAP10","ARHGAP10","Rho GTPase activating protein 10","4","4q31.23"
"ARHGAP11A","ARHGAP11A","ARHGAP11A","Rho GTPase activating protein 11A","15","15q13.3"
"ARHGAP12","ARHGAP12","ARHGAP12","Rho GTPase activating protein 12","10","10p11.22"
"ARHGAP15","ARHGAP15","ARHGAP15","Rho GTPase activating protein 15","2","2q22.2-q22.3"
"ARHGAP17","ARHGAP17","ARHGAP17","Rho GTPase activating protein 17","16","16p12.1"
"ARHGAP18","ARHGAP18","ARHGAP18","Rho GTPase activating protein 18","6","6q22.33"
"ARHGAP19","ARHGAP19","ARHGAP19","Rho GTPase activating protein 19","10","10q24.1"
"ARHGAP25","ARHGAP25","ARHGAP25","Rho GTPase activating protein 25","2","2p13.3"
"ARHGAP26","ARHGAP26","ARHGAP26","Rho GTPase activating protein 26","5","5q31.3"
"ARHGAP27","ARHGAP27","ARHGAP27","Rho GTPase activating protein 27","17","17q21.31"
"ARHGAP30","ARHGAP30","ARHGAP30","Rho GTPase activating protein 30","1","1q23.3"
"ARHGAP35","ARHGAP35","ARHGAP35","Rho GTPase activating protein 35","19","19q13.32"
"ARHGAP4","ARHGAP4","ARHGAP4","Rho GTPase activating protein 4","X","Xq28"
"ARHGAP5","ARHGAP5","ARHGAP5","Rho GTPase activating protein 5","14","14q12"
"ARHGAP9","ARHGAP9","ARHGAP9","Rho GTPase activating protein 9","12","12q13.3"
"ARHGDIA","ARHGDIA","ARHGDIA","Rho GDP dissociation inhibitor alpha","17","17q25.3"
"ARHGDIB","ARHGDIB","ARHGDIB","Rho GDP dissociation inhibitor beta","12","12p12.3"
"ARHGEF1","ARHGEF1","ARHGEF1","Rho guanine nucleotide exchange factor 1","19","19q13.2"
"ARHGEF10","ARHGEF10","ARHGEF10","Rho guanine nucleotide exchange factor 10","8","8p23.3"
"ARHGEF11","ARHGEF11","ARHGEF11","Rho guanine nucleotide exchange factor 11","1","1q23.1"
"ARHGEF12","ARHGEF12","ARHGEF12","Rho guanine nucleotide exchange factor 12","11","11q23.3"
"ARHGEF18","ARHGEF18","ARHGEF18","Rho/Rac guanine nucleotide exchange factor 18","19","19p13.2"
"ARHGEF2","ARHGEF2","ARHGEF2","Rho/Rac guanine nucleotide exchange factor 2","1","1q22"
"ARHGEF3","ARHGEF3","ARHGEF3","Rho guanine nucleotide exchange factor 3","3","3p14.3"
"ARHGEF5","ARHGEF5","ARHGEF5","Rho guanine nucleotide exchange factor 5","7","7q35"
"ARHGEF6","ARHGEF6","ARHGEF6","Rac/Cdc42 guanine nucleotide exchange factor 6","X","Xq26.3"
"ARHGEF7","ARHGEF7","ARHGEF7","Rho guanine nucleotide exchange factor 7","13","13q34"
"ARID1A","ARID1A","ARID1A","AT-rich interaction domain 1A","1","1p36.11"
"ARID1B","ARID1B","ARID1B","AT-rich interaction domain 1B","6","6q25.3"
"ARID2","ARID2","ARID2","AT-rich interaction domain 2","12","12q12"
"ARID3A","ARID3A","ARID3A","AT-rich interaction domain 3A","19","19p13.3"
"ARID3B","ARID3B","ARID3B","AT-rich interaction domain 3B","15","15q24.1"
"ARID4A","ARID4A","ARID4A","AT-rich interaction domain 4A","14","14q23.1"
"ARID4B","ARID4B","ARID4B","AT-rich interaction domain 4B","1","1q42.3"
"ARID5A","ARID5A","ARID5A","AT-rich interaction domain 5A","2","2q11.2"
"ARID5B","ARID5B","ARID5B","AT-rich interaction domain 5B","10","10q21.2"
"ARIH1","ARIH1","ARIH1","ariadne RBR E3 ubiquitin protein ligase 1","15","15q24.1"
"ARIH2","ARIH2","ARIH2","ariadne RBR E3 ubiquitin protein ligase 2","3","3p21.31"
"ARL1","ARL1","ARL1","ADP ribosylation factor like GTPase 1","12","12q23.2"
"ARL15","ARL15","ARL15","ADP ribosylation factor like GTPase 15","5","5q11.2"
"ARL2","ARL2","ARL2","ADP ribosylation factor like GTPase 2","11","11q13.1"
"ARL2BP","ARL2BP","ARL2BP","ADP ribosylation factor like GTPase 2 binding protein","16","16q13"
"ARL3","ARL3","ARL3","ADP ribosylation factor like GTPase 3","10","10q24.32"
"ARL5A","ARL5A","ARL5A","ADP ribosylation factor like GTPase 5A","2","2q23.3"
"ARL6","ARL6","ARL6","ADP ribosylation factor like GTPase 6","3","3q11.2"
"ARL6IP4","ARL6IP4","ARL6IP4","ADP ribosylation factor like GTPase 6 interacting protein 4","12","12q24.31"
"ARL6IP5","ARL6IP5","ARL6IP5","ADP ribosylation factor like GTPase 6 interacting protein 5","3","3p14.1"
"ARL6IP6","ARL6IP6","ARL6IP6","ADP ribosylation factor like GTPase 6 interacting protein 6","2","2q23.3"
"ARL8A","ARL8A","ARL8A","ADP ribosylation factor like GTPase 8A","1","1q32.1"
"ARL8B","ARL8B","ARL8B","ADP ribosylation factor like GTPase 8B","3","3p26.1"
"ARMC1","ARMC1","ARMC1","armadillo repeat containing 1","8","8q13.1"
"ARMC10","ARMC10","ARMC10","armadillo repeat containing 10","7","7q22.1"
"ARMC5","ARMC5","ARMC5","armadillo repeat containing 5","16","16p11.2"
"ARMC6","ARMC6","ARMC6","armadillo repeat containing 6","19","19p13.11"
"ARMC8","ARMC8","ARMC8","armadillo repeat containing 8","3","3q22.3"
"ARMCX1","ARMCX1","ARMCX1","armadillo repeat containing X-linked 1","X","Xq22.1"
"ARMCX3","ARMCX3","ARMCX3","armadillo repeat containing X-linked 3","X","Xq22.1"
"ARNT","ARNT","ARNT","aryl hydrocarbon receptor nuclear translocator","1","1q21.3"
"ARPC1A","ARPC1A","ARPC1A","actin related protein 2/3 complex subunit 1A","7","7q22.1"
"ARPC1B","ARPC1B","ARPC1B","actin related protein 2/3 complex subunit 1B","7","7q22.1"
"ARPC2","ARPC2","ARPC2","actin related protein 2/3 complex subunit 2","2","2q35"
"ARPC3","ARPC3","ARPC3","actin related protein 2/3 complex subunit 3","12","12q24.11"
"ARPC4","ARPC4","ARPC4;ARPC4-TTLL3","actin related protein 2/3 complex subunit 4","3","3p25.3"
"ARPC5","ARPC5","ARPC5","actin related protein 2/3 complex subunit 5","1","1q25.3"
"ARPC5L","ARPC5L","ARPC5L","actin related protein 2/3 complex subunit 5 like","9","9q33.3"
"ARPP19","ARPP19","ARPP19","cAMP regulated phosphoprotein 19","15","15q21.2"
"ARRB2","ARRB2","ARRB2","arrestin beta 2","17","17p13.2"
"ARRDC1","ARRDC1","ARRDC1","arrestin domain containing 1","9","9q34.3"
"ARSA","ARSA","ARSA","arylsulfatase A","22","22q13.33"
"ARV1","ARV1","ARV1","ARV1 homolog, fatty acid homeostasis modulator","1","1q42.2"
"ASAH1","ASAH1","ASAH1","N-acylsphingosine amidohydrolase 1","8","8p22"
"ASAP1","ASAP1","ASAP1","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1","8","8q24.21-q24.22"
"ASB1","ASB1","ASB1","ankyrin repeat and SOCS box containing 1","2","2q37.3"
"ASB2","ASB2","ASB2","ankyrin repeat and SOCS box containing 2","14","14q32.12"
"ASB6","ASB6","ASB6","ankyrin repeat and SOCS box containing 6","9","9q34.11"
"ASB7","ASB7","ASB7","ankyrin repeat and SOCS box containing 7","15","15q26.3"
"ASCC1","ASCC1","ASCC1","activating signal cointegrator 1 complex subunit 1","10","10q22.1"
"ASCC2","ASCC2","ASCC2","activating signal cointegrator 1 complex subunit 2","22","22q12.2"
"ASCC3","ASCC3","ASCC3","activating signal cointegrator 1 complex subunit 3","6","6q16.3"
"ASF1A","ASF1A","ASF1A","anti-silencing function 1A histone chaperone","6","6q22.31"
"ASF1B","ASF1B","ASF1B","anti-silencing function 1B histone chaperone","19","19p13.12"
"ASH2L","ASH2L","ASH2L","ASH2 like, histone lysine methyltransferase complex subunit","8","8p11.23"
"ASL","ASL","ASL","argininosuccinate lyase","7","7q11.21"
"ASMTL","ASMTL","ASMTL","acetylserotonin O-methyltransferase like","X","Xp22.33"
"ASNA1","ASNA1","ASNA1","arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)","19","19p13.13"
"ASNS","ASNS","ASNS","asparagine synthetase (glutamine-hydrolyzing)","7","7q21.3"
"ASNSD1","ASNSD1","ASNSD1","asparagine synthetase domain containing 1","2","2q32.2"
"ASPH","ASPH","ASPH","aspartate beta-hydroxylase","8","8q12.3"
"ASPM","ASPM","ASPM","abnormal spindle microtubule assembly","1","1q31.3"
"ASPSCR1","ASPSCR1","ASPSCR1","ASPSCR1, UBX domain containing tether for SLC2A4","17","17q25.3"
"ASS1","ASS1","ASS1","argininosuccinate synthase 1","9","9q34.11"
"ASTE1","ASTE1","ASTE1","asteroid homolog 1","3","3q22.1"
"Asun","Asun","Asun;ASUN",NA,NA,NA
"ASXL1","ASXL1","ASXL1","ASXL transcriptional regulator 1","20","20q11.21"
"ATAD1","ATAD1","ATAD1","ATPase family, AAA domain containing 1","10","10q23.31"
"ATAD2","ATAD2","ATAD2","ATPase family, AAA domain containing 2","8","8q24.13"
"ATAD2B","ATAD2B","ATAD2B","ATPase family, AAA domain containing 2B","2","2p24.1-p23.3"
"ATAD3A","ATAD3A","ATAD3A","ATPase family, AAA domain containing 3A","1","1p36.33"
"ATAD3B","ATAD3B","ATAD3B","ATPase family, AAA domain containing 3B","1","1p36.33"
"ATAD5","ATAD5","ATAD5","ATPase family, AAA domain containing 5","17","17q11.2"
"ATE1","ATE1","ATE1","arginyltransferase 1","10","10q26.13"
"ATF1","ATF1","ATF1","activating transcription factor 1","12","12q13.12"
"ATF2","ATF2","ATF2","activating transcription factor 2","2","2q31.1"
"ATF6B","ATF6B","ATF6B","activating transcription factor 6 beta","6","6p21.32"
"ATF7","ATF7","ATF7","activating transcription factor 7","12","12q13.13"
"ATF7IP","ATF7IP","ATF7IP","activating transcription factor 7 interacting protein","12","12p13.1"
"ATF7IP2","ATF7IP2","ATF7IP2","activating transcription factor 7 interacting protein 2","16","16p13.2-p13.13"
"ATG101","ATG101","ATG101;C12orf44","autophagy related 101","12","12q13.13"
"ATG12","ATG12","ATG12","autophagy related 12","5","5q22.3"
"ATG13","ATG13","ATG13","autophagy related 13","11","11p11.2"
"ATG16L1","ATG16L1","ATG16L1","autophagy related 16 like 1","2","2q37.1"
"ATG2A","ATG2A","ATG2A","autophagy related 2A","11","11q13.1"
"ATG2B","ATG2B","ATG2B","autophagy related 2B","14","14q32.2"
"ATG3","ATG3","ATG3","autophagy related 3","3","3q13.2"
"ATG4A","ATG4A","ATG4A","autophagy related 4A cysteine peptidase","X","Xq22.3"
"ATG4B","ATG4B","ATG4B","autophagy related 4B cysteine peptidase","2","2q37.3"
"ATG5","ATG5","ATG5","autophagy related 5","6","6q21"
"ATG7","ATG7","ATG7","autophagy related 7","3","3p25.3"
"ATG9A","ATG9A","ATG9A","autophagy related 9A","2","2q35"
"ATHL1","ATHL1","ATHL1",NA,NA,NA
"ATIC","ATIC","ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","2","2q35"
"ATL2","ATL2","ATL2","atlastin GTPase 2","2","2p22.2-p22.1"
"ATL3","ATL3","ATL3","atlastin GTPase 3","11","11q13.1"
"ATM","ATM","ATM","ATM serine/threonine kinase","11","11q22.3"
"ATOX1","ATOX1","ATOX1","antioxidant 1 copper chaperone","5","5q33.1"
"ATP11A","ATP11A","ATP11A","ATPase phospholipid transporting 11A","13","13q34"
"ATP11B","ATP11B","ATP11B","ATPase phospholipid transporting 11B (putative)","3","3q26.33"
"ATP11C","ATP11C","ATP11C","ATPase phospholipid transporting 11C","X","Xq27.1"
"ATP13A1","ATP13A1","ATP13A1","ATPase 13A1","19","19p13.11"
"ATP13A3","ATP13A3","ATP13A3","ATPase 13A3","3","3q29"
"ATP1A1","ATP1A1","ATP1A1","ATPase Na+/K+ transporting subunit alpha 1","1","1p13.1"
"ATP1A2","ATP1A2","ATP1A2","ATPase Na+/K+ transporting subunit alpha 2","1","1q23.2"
"ATP1B1","ATP1B1","ATP1B1","ATPase Na+/K+ transporting subunit beta 1","1","1q24.2"
"ATP1B3","ATP1B3","ATP1B3","ATPase Na+/K+ transporting subunit beta 3","3","3q23"
"ATP2A2","ATP2A2","ATP2A2","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2","12","12q24.11"
"ATP2A3","ATP2A3","ATP2A3","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3","17","17p13.2"
"ATP2B1","ATP2B1","ATP2B1","ATPase plasma membrane Ca2+ transporting 1","12","12q21.33"
"ATP2B4","ATP2B4","ATP2B4","ATPase plasma membrane Ca2+ transporting 4","1","1q32.1"
"ATP2C1","ATP2C1","ATP2C1","ATPase secretory pathway Ca2+ transporting 1","3","3q22.1"
"ATP5A1","ATP5A1","ATP5A1",NA,NA,NA
"ATP5B","ATP5B","ATP5B",NA,NA,NA
"ATP5C1","ATP5C1","ATP5C1",NA,NA,NA
"ATP5D","ATP5D","ATP5D",NA,NA,NA
"ATP5F1","ATP5F1","ATP5F1",NA,NA,NA
"ATP5G1","ATP5G1","ATP5G1;ATP5G2;ATP5G3",NA,NA,NA
"ATP5H","ATP5H","ATP5H",NA,NA,NA
"ATP5I","ATP5I","ATP5I",NA,NA,NA
"ATP5J","ATP5J","ATP5J",NA,NA,NA
"ATP5J2","ATP5J2","ATP5J2;PTCD1",NA,NA,NA
"ATP5L","ATP5L","ATP5L",NA,NA,NA
"ATP5O","ATP5O","ATP5O",NA,NA,NA
"ATP5S","ATP5S","ATP5S",NA,NA,NA
"ATP5SL","ATP5SL","ATP5SL",NA,NA,NA
"ATP6AP1","ATP6AP1","ATP6AP1","ATPase H+ transporting accessory protein 1","X","Xq28"
"ATP6AP2","ATP6AP2","ATP6AP2","ATPase H+ transporting accessory protein 2","X","Xp11.4"
"ATP6V0A1","ATP6V0A1","ATP6V0A1","ATPase H+ transporting V0 subunit a1","17","17q21.2"
"ATP6V0A2","ATP6V0A2","ATP6V0A2","ATPase H+ transporting V0 subunit a2","12","12q24.31"
"ATP6V0C","ATP6V0C","ATP6V0C","ATPase H+ transporting V0 subunit c","16","16p13.3"
"ATP6V0D1","ATP6V0D1","ATP6V0D1","ATPase H+ transporting V0 subunit d1","16","16q22.1"
"ATP6V1A","ATP6V1A","ATP6V1A","ATPase H+ transporting V1 subunit A","3","3q13.31"
"ATP6V1B2","ATP6V1B2","ATP6V1B2","ATPase H+ transporting V1 subunit B2","8","8p21.3"
"ATP6V1C1","ATP6V1C1","ATP6V1C1","ATPase H+ transporting V1 subunit C1","8","8q22.3"
"ATP6V1D","ATP6V1D","ATP6V1D","ATPase H+ transporting V1 subunit D","14","14q23.3"
"ATP6V1E1","ATP6V1E1","ATP6V1E1","ATPase H+ transporting V1 subunit E1","22","22q11.21"
"ATP6V1F","ATP6V1F","ATP6V1F","ATPase H+ transporting V1 subunit F","7","7q32.1"
"ATP6V1G1","ATP6V1G1","ATP6V1G1","ATPase H+ transporting V1 subunit G1","9","9q32"
"ATP6V1H","ATP6V1H","ATP6V1H","ATPase H+ transporting V1 subunit H","8","8q11.23"
"ATP7A","ATP7A","ATP7A","ATPase copper transporting alpha","X","Xq21.1"
"ATP8A1","ATP8A1","ATP8A1","ATPase phospholipid transporting 8A1","4","4p13"
"ATP8B2","ATP8B2","ATP8B2","ATPase phospholipid transporting 8B2","1","1q21.3"
"ATPAF1","ATPAF1","ATPAF1","ATP synthase mitochondrial F1 complex assembly factor 1","1","1p33"
"ATPAF2","ATPAF2","ATPAF2","ATP synthase mitochondrial F1 complex assembly factor 2","17","17p11.2"
"ATPBD4","ATPBD4","ATPBD4",NA,NA,NA
"ATPIF1","ATPIF1","ATPIF1",NA,NA,NA
"ATR","ATR","ATR","ATR serine/threonine kinase","3","3q23"
"ATRIP","ATRIP","ATRIP","ATR interacting protein","3","3p21.31"
"ATRN","ATRN","ATRN","attractin","20","20p13"
"ATRX","ATRX","ATRX","ATRX, chromatin remodeler","X","Xq21.1"
"ATXN10","ATXN10","ATXN10","ataxin 10","22","22q13.31"
"ATXN2","ATXN2","ATXN2","ataxin 2","12","12q24.12"
"ATXN2L","ATXN2L","ATXN2L","ataxin 2 like","16","16p11.2"
"ATXN3","ATXN3","ATXN3","ataxin 3","14","14q32.12"
"ATXN7L2","ATXN7L2","ATXN7L2","ataxin 7 like 2","1","1p13.3"
"ATXN7L3B","ATXN7L3B","ATXN7L3B","ataxin 7 like 3B","12","12q21.1"
"AUH","AUH","AUH","AU RNA binding methylglutaconyl-CoA hydratase","9","9q22.31"
"AUP1","AUP1","AUP1","AUP1, lipid droplet regulating VLDL assembly factor","2","2p13.1"
"AURKA","AURKA","AURKA","aurora kinase A","20","20q13.2"
"AURKAIP1","AURKAIP1","AURKAIP1","aurora kinase A interacting protein 1","1","1p36.33"
"AURKB","AURKB","AURKB","aurora kinase B","17","17p13.1"
"AVEN","AVEN","AVEN","apoptosis and caspase activation inhibitor","15","15q14"
"AVL9","AVL9","AVL9","AVL9 cell migration associated","7","7p14.3"
"AVP","AVP","AVP","arginine vasopressin","20","20p13"
"AXIN1","AXIN1","AXIN1","axin 1","16","16p13.3"
"AZGP1","AZGP1","AZGP1","alpha-2-glycoprotein 1, zinc-binding","7","7q22.1"
"AZI1","AZI1","AZI1",NA,NA,NA
"AZI2","AZI2","AZI2","5-azacytidine induced 2","3","3p24.1"
"B2M","B2M","B2M","beta-2-microglobulin","15","15q21.1"
"B3GALT6","B3GALT6","B3GALT6","beta-1,3-galactosyltransferase 6","1","1p36.33"
"B3GALTL","B3GALTL","B3GALTL",NA,NA,NA
"B3GAT3","B3GAT3","B3GAT3","beta-1,3-glucuronyltransferase 3","11","11q12.3"
"B3GNTL1","B3GNTL1","B3GNTL1","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1","17","17q25.3"
"B4GALT1","B4GALT1","B4GALT1","beta-1,4-galactosyltransferase 1","9","9p21.1"
"B4GALT3","B4GALT3","B4GALT3","beta-1,4-galactosyltransferase 3","1","1q23.3"
"B4GALT5","B4GALT5","B4GALT5","beta-1,4-galactosyltransferase 5","20","20q13.13"
"B4GALT7","B4GALT7","B4GALT7","beta-1,4-galactosyltransferase 7","5","5q35.3"
"BABAM1","BABAM1","BABAM1","BRISC and BRCA1 A complex member 1","19","19p13.11"
"BACH2","BACH2","BACH2","BTB domain and CNC homolog 2","6","6q15"
"BAD","BAD","BAD","BCL2 associated agonist of cell death","11","11q13.1"
"BAG1","BAG1","BAG1","BCL2 associated athanogene 1","9","9p13.3"
"BAG2","BAG2","BAG2","BCL2 associated athanogene 2","6","6p12.1"
"BAG3","BAG3","BAG3","BCL2 associated athanogene 3","10","10q26.11"
"BAG4","BAG4","BAG4","BCL2 associated athanogene 4","8","8p11.23"
"BAG5","BAG5","BAG5","BCL2 associated athanogene 5","14","14q32.33"
"BAIAP2","BAIAP2","BAIAP2","BAI1 associated protein 2","17","17q25.3"
"BAK1","BAK1","BAK1","BCL2 antagonist/killer 1","6","6p21.31"
"BANF1","BANF1","BANF1","barrier to autointegration factor 1","11","11q13.1"
